HUGO_SYMBOL	Type	con	V1	V2	V3
ABL1	E	ABL1_E	T	T	T
AKT1	E	AKT1_E	T	T	T
AKT2	E	AKT2_E	T	T	T
AKT3	E	AKT3_E	T	T	T
ALK	E	ALK_E	T	T	T
ALOX12B	E	ALOX12B_E	T	T	F
APC	E	APC_E	T	T	T
AR	E	AR_E	T	T	T
ARAF	E	ARAF_E	T	T	T
ARID1A	E	ARID1A_E	T	T	T
ARID1B	E	ARID1B_E	T	T	T
ARID2	E	ARID2_E	T	T	T
ASXL1	E	ASXL1_E	T	T	T
ATM	E	ATM_E	T	T	T
ATRX	E	ATRX_E	T	T	T
AURKA	E	AURKA_E	T	T	T
AURKB	E	AURKB_E	T	T	T
AXL	E	AXL_E	T	T	T
B2M	E	B2M_E	T	T	T
BAP1	E	BAP1_E	T	T	T
BCL2	E	BCL2_E	T	T	T
BCL2L1	E	BCL2L1_E	T	T	T
BCL2L12	E	BCL2L12_E	T	T	T
BCL6	E	BCL6_E	T	T	T
BCOR	E	BCOR_E	T	T	T
BCORL1	E	BCORL1_E	T	T	T
BLM	E	BLM_E	T	T	T
BMPR1A	E	BMPR1A_E	T	T	T
BRAF	E	BRAF_E	T	T	T
BRCA1	E	BRCA1_E	T	T	T
BRCA2	E	BRCA2_E	T	T	T
BRD4	E	BRD4_E	T	T	T
BRIP1	E	BRIP1_E	T	T	T
BUB1B	E	BUB1B_E	T	T	T
CARD11	E	CARD11_E	T	T	T
CBL	E	CBL_E	T	T	T
CBLB	E	CBLB_E	T	T	T
CCND1	E	CCND1_E	T	T	T
CCND2	E	CCND2_E	T	T	T
CCND3	E	CCND3_E	T	T	T
CCNE1	E	CCNE1_E	T	T	T
CD274	E	CD274_E	T	T	T
CD58	E	CD58_E	T	T	F
CD79B	E	CD79B_E	T	T	T
CDC73	E	CDC73_E	T	T	T
CDH1	E	CDH1_E	T	T	T
CDK1	E	CDK1_E	T	T	F
CDK2	E	CDK2_E	T	T	F
CDK4	E	CDK4_E	T	T	T
CDK5	E	CDK5_E	T	T	F
CDK6	E	CDK6_E	T	T	T
CDK9	E	CDK9_E	T	T	F
CDKN1A	E	CDKN1A_E	T	T	T
CDKN1B	E	CDKN1B_E	T	T	T
CDKN1C	E	CDKN1C_E	T	T	T
CDKN2A	E	CDKN2A_E	T	T	T
CDKN2B	E	CDKN2B_E	T	T	T
CDKN2C	E	CDKN2C_E	T	T	T
CEBPA	E	CEBPA_E	T	T	T
CHEK2	E	CHEK2_E	T	T	T
CIITA	E	CIITA_E	T	T	T
CREBBP	E	CREBBP_E	T	T	T
CRKL	E	CRKL_E	T	T	T
CRLF2	E	CRLF2_E	T	T	T
CRTC1	E	CRTC1_E	T	T	T
CRTC2	E	CRTC2_E	T	T	F
CTNNB1	E	CTNNB1_E	T	T	T
CUX1	E	CUX1_E	T	T	T
CYLD	E	CYLD_E	T	T	T
DDB2	E	DDB2_E	T	T	T
DDR2	E	DDR2_E	T	T	T
DICER1	E	DICER1_E	T	T	T
DIS3	E	DIS3_E	T	T	T
DMD	E	DMD_E	T	T	F
DNMT3A	E	DNMT3A_E	T	T	T
EGFR	E	EGFR_E	T	T	T
